society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ci5,Turks,xd581,nucl1301,Turkish,Turkic,AnnualMeanTemperature,12.03070435,,,,
Nf3,Omaha,xd1237,omah1248,Omaha,Siouan,AnnualMeanTemperature,12.04246538,,,,
Nd33,Beatty,xd1167,pana1305,Panamint,Uto-Aztecan,AnnualMeanTemperature,12.0435765,,,,
WNAI152,Chiricahua (Warm Springs),xd1259,mesc1238,Mescalero-Chiricahua Apache,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.07890253,,,,
B180,Hupa,xd1096,hupa1239,Hupa,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.11936958,,,,
Nb4,Yurok,xd1101,yuro1248,Yurok,Algic,AnnualMeanTemperature,12.11936958,,,,
WNAI39,Wiyot,xd1097,wiyo1248,Wiyot,Algic,AnnualMeanTemperature,12.11936958,,,,
B174,Yana,xd1109,yana1271,Yana,,AnnualMeanTemperature,12.13921486,,,,
SCCS150,Havasupai,xd1163,hava1249,Havasupai,Cochimi-Yuman,AnnualMeanTemperature,12.19737898,,,,
Ch7,Ukranians,xd571,east2270,East Ukrainian,Indo-European,AnnualMeanTemperature,12.23980106,,,,
B184,Wiyot,xd1097,wiyo1248,Wiyot,Algic,AnnualMeanTemperature,12.29363886,,,,
B195,Tümpisa Shoshone (Panamint),xd1166,pana1305,Panamint,Uto-Aztecan,AnnualMeanTemperature,12.32639826,,,,
ch25,Moldovans,xd563,mold1248,Moldavian,Indo-European,AnnualMeanTemperature,12.39622862,,,,
Ch10,Romanians,xd547,baya1255,Bayash-Rudar,Indo-European,AnnualMeanTemperature,12.43414875,,,,
B167,Lassik,xd1098,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.46333292,,,,
Nb38,Mattole-Bear River,xd1099,matt1238,Mattole,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.46333292,,,,
WNAI54,Valley Maidu,xd1432,vall1252,Valley Maidu,Maiduan,AnnualMeanTemperature,12.47469479,,,,
B166,Sinkyone,xd1100,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.4760452,,,,
WNAI40,Sinkyone,xd1100,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.4760452,,,,
WNAI42,Nongatl,xd1434,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.4760452,,,,
B169,Mattole-Bear River,xd1099,matt1238,Mattole,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.48875747,,,,
WNAI41,Mattole-Bear River,xd1099,matt1238,Mattole,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.48875747,,,,
WNAI136,Havasupai,xd1163,hava1249,Havasupai,Cochimi-Yuman,AnnualMeanTemperature,12.51165498,,,,
B175,Central Sierra Miwok,xd1136,cent2140,Central Sierra Miwok,Miwok-Costanoan,AnnualMeanTemperature,12.54967224,,,,
Nc5,Central Sierra Miwok,xd1136,cent2140,Central Sierra Miwok,Miwok-Costanoan,AnnualMeanTemperature,12.54967224,,,,
WNAI69,Central Sierra Miwok,xd1136,cent2140,Central Sierra Miwok,Miwok-Costanoan,AnnualMeanTemperature,12.54967224,,,,
Ng5,Cherokee,xd1254,cher1273,Cherokee,Iroquoian,AnnualMeanTemperature,12.59812975,,,,
Ch8,Magyar,xd572,hung1274,Hungarian,Uralic,AnnualMeanTemperature,12.61471436,,,,
Nh17,Western Apache,xd1267,west2615,Western Apache,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.63651481,,,,
WNAI151,Western Apache (White Mountain),xd1267,west2615,Western Apache,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.63651481,,,,
B197,Koso,xd1165,pana1305,Panamint,Uto-Aztecan,AnnualMeanTemperature,12.69628855,,,,
Nf11,Otoe,xd1231,otoo1241,Oto,Siouan,AnnualMeanTemperature,12.74329529,,,,
B137,Tasmanians (northwestern),xd783,port1278,Port Sorell,Western Tasmanian,AnnualMeanTemperature,12.75898894,,,,
Nd66,Yavapai,xd1203,yava1252,Yavapai,Cochimi-Yuman,AnnualMeanTemperature,12.76395177,,,,
WNAI147,Western Apache (North Tonto),xd1267,west2615,Western Apache,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.76395177,,,,
WNAI132,Shivwits,xd1188,sout2969,Southern Paiute,Uto-Aztecan,AnnualMeanTemperature,12.79882365,,,,
B177,Coast Yuki,xd1113,yuki1243,Yuki,Yuki-Wappo,AnnualMeanTemperature,12.8527965,,,,
Nb36,Wiyot,xd1097,wiyo1248,Wiyot,Algic,AnnualMeanTemperature,12.8527965,,,,
Nb39,Sinkyone,xd1100,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.8527965,,,,
B163,Nisenan,xd1111,nise1244,Nisenan,Maiduan,AnnualMeanTemperature,12.8604162,,,,
WNAI57,Nisenan (Foothill),xd1111,nise1244,Nisenan,Maiduan,AnnualMeanTemperature,12.8604162,,,,
Ni1,Tarahumara,xd1286,cent2131,Central Tarahumara,Uto-Aztecan,AnnualMeanTemperature,12.88837639,,,,
B153,Nomlaki,xd1107,noml1242,Nomlaki,Wintuan,AnnualMeanTemperature,12.94194105,,,,
Nb37,Lassik,xd1098,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.94194105,,,,
Nc7,Yuki,xd1138,yuki1243,Yuki,Yuki-Wappo,AnnualMeanTemperature,12.94194105,,,,
B171,Yuki,xd1138,yuki1243,Yuki,Yuki-Wappo,AnnualMeanTemperature,12.99242095,,,,
WNAI43,Cahto,xd1425,kato1244,Kato,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,12.99242095,,,,
WNAI61,Yuki,xd1138,yuki1243,Yuki,Yuki-Wappo,AnnualMeanTemperature,12.99242095,,,,
WNAI63,Northern Pomo,xd1115,nort2966,Northern Pomo,Pomoan,AnnualMeanTemperature,12.99242095,,,,
WNAI70,Southern Miwok,xd1421,sout2985,Southern Sierra Miwok,Miwok-Costanoan,AnnualMeanTemperature,13.00150139,,,,
Nc23,Western Mono,xd1122,mono1275,Mono (USA),Uto-Aztecan,AnnualMeanTemperature,13.069292,,,,
WNAI72,Kings River Western Mono,xd1122,mono1275,Mono (USA),Uto-Aztecan,AnnualMeanTemperature,13.069292,,,,
B135,Kurnai,xd979,gana1278,Ganai,Pama-Nyungan,AnnualMeanTemperature,13.07239748,,,,
Ni9,Tepehuán,xd1294,nort2959,Northern Tepehuan,Uto-Aztecan,AnnualMeanTemperature,13.101956,,,,
Nc13,Nisenan,xd1111,nise1244,Nisenan,Maiduan,AnnualMeanTemperature,13.14362747,,,,
WNAI59,Nisenan (Southern),xd1111,nise1244,Nisenan,Maiduan,AnnualMeanTemperature,13.14362747,,,,
Ij2,Māori,xd891,maor1246,Maori,Austronesian,AnnualMeanTemperature,13.14841997,,,,
Nf13,Shawnee,xd1233,shaw1249,Shawnee,Algic,AnnualMeanTemperature,13.18899255,,,,
WNAI154,Mescalero,xd1265,mesc1238,Mescalero-Chiricahua Apache,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,13.2838206,,,,
Nc15,Coast Yuki,xd1113,yuki1243,Yuki,Yuki-Wappo,AnnualMeanTemperature,13.31654243,,,,
WNAI60,Coast Yuki,xd1113,yuki1243,Yuki,Yuki-Wappo,AnnualMeanTemperature,13.31654243,,,,
B78,//Xegwi,xd936,xegw1238,//Xegwi,Tuu,AnnualMeanTemperature,13.41986089,,,,
Nd53,Southern Paiute (Kaibab),xd1189,sout2969,Southern Paiute,Uto-Aztecan,AnnualMeanTemperature,13.43346058,,,,
B191,Chichimeca,xd1290,chic1272,Chichimeca-Jonaz,Otomanguean,AnnualMeanTemperature,13.50551589,,,,
Ni5,Chichimeca,xd1290,chic1272,Chichimeca-Jonaz,Otomanguean,AnnualMeanTemperature,13.50551589,,,,
Ci1,Kalmyk,xd574,kalm1243,Oirad-Kalmyk,Mongolic,AnnualMeanTemperature,13.52243921,,,,
Nd32,Tümpisa Shoshone (Saline and Panamint),xd1166,pana1305,Panamint,Uto-Aztecan,AnnualMeanTemperature,13.55958568,,,,
Nd52,Shivwits,xd1188,sout2969,Southern Paiute,Uto-Aztecan,AnnualMeanTemperature,13.55958568,,,,
WNAI118,Tümpisa Shoshone (Panamint),xd1166,pana1305,Panamint,Uto-Aztecan,AnnualMeanTemperature,13.55958568,,,,
B173,Northern Pomo,xd1115,nort2966,Northern Pomo,Pomoan,AnnualMeanTemperature,13.5685491,,,,
Ee7,Kachari,xd659,kach1279,Kachari,Sino-Tibetan,AnnualMeanTemperature,13.61411939,,,,
B241,Comanche,xd1222,coma1245,Comanche,Uto-Aztecan,AnnualMeanTemperature,13.73959278,,,,
B158,Eastern Pomo,xd1116,east2545,Eastern Pomo,Pomoan,AnnualMeanTemperature,13.78493597,,,,
B159,Clear Lake Pomo,xd1116,east2545,Eastern Pomo,Pomoan,AnnualMeanTemperature,13.78493597,,,,
WNAI73,Northern Foothills Yokuts,xd1129,nort2937,Northern Hill/Valley Yokuts,Yokutsan,AnnualMeanTemperature,13.81761019,,,,
ch17,Gagauz,xd554,gaga1249,Gagauz,Turkic,AnnualMeanTemperature,13.93636069,,,,
SCCS50,Spanish Basques,xd535,west1508,Western Low Navarrese,Basque,AnnualMeanTemperature,13.94759676,,,,
Nj9,Tlaxcalans,xd1308,cent2132,Tlaxcala-Puebla-Central Nahuatl,Uto-Aztecan,AnnualMeanTemperature,13.94816831,,,,
Eb8,Uzbek,xd616,nort2690,Northern Uzbek,Turkic,AnnualMeanTemperature,13.98627587,,,,
B155,Patwin,xd1121,patw1250,Patwin,Wintuan,AnnualMeanTemperature,13.98944958,,,,
WNAI50,Nomlaki,xd1107,noml1242,Nomlaki,Wintuan,AnnualMeanTemperature,13.98944958,,,,
Ng14,Chickasaw,xd1249,chic1270,Chickasaw,Muskogean,AnnualMeanTemperature,13.99198516,,,,
Nc21,Lake Miwok,xd1120,lake1258,Lake Miwok,Miwok-Costanoan,AnnualMeanTemperature,13.99992466,,,,
Ed5,Japanese,xd648,nucl1643,Japanese,Japonic,AnnualMeanTemperature,14.0120186,,,,
WNAI68,Northern Miwok,xd1420,nort2968,Northern Sierra Miwok,Miwok-Costanoan,AnnualMeanTemperature,14.0243494,,,,
Nd31,Koso,xd1165,pana1305,Panamint,Uto-Aztecan,AnnualMeanTemperature,14.05247908,,,,
B134,Bunurong,xd978,woiw1237,Woiwurrung,Pama-Nyungan,AnnualMeanTemperature,14.06078821,,,,
Nj2,Aztec,xd1301,clas1250,Classical Nahuatl,Uto-Aztecan,AnnualMeanTemperature,14.06928618,,,,
Nh15,Mescalero,xd1265,mesc1238,Mescalero-Chiricahua Apache,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,14.07346677,,,,
SCCS153,Aztec,xd1301,clas1250,Classical Nahuatl,Uto-Aztecan,AnnualMeanTemperature,14.09964205,,,,
B151,Wukchumni,xd1124,tule1245,Tule-Kaweah Yokuts,Yokutsan,AnnualMeanTemperature,14.10336302,,,,
WNAI138,Yavapai (Northeast),xd1203,yava1252,Yavapai,Cochimi-Yuman,AnnualMeanTemperature,14.10645113,,,,
B219,North Fork Mono,xd993,mono1275,Mono (USA),Uto-Aztecan,AnnualMeanTemperature,14.1700893,,,,
WNAI74,Kings River Yokuts,xd1436,sout2955,Southern Valley Yokuts,Yokutsan,AnnualMeanTemperature,14.1700893,,,,
Ed4,Miao,xd647,horn1235,Horned Miao,Hmong-Mien,AnnualMeanTemperature,14.24339188,,,,
B243,Kiowa,xd1216,kiow1266,Kiowa,Kiowa-Tanoan,AnnualMeanTemperature,14.26523204,,,,
Ea7,Moghol,xd606,mogh1245,Mogholi,Mongolic,AnnualMeanTemperature,14.2761077,,,,
SCCS55,Abkhaz,xd577,abkh1244,Abkhazian,Abkhaz-Adyge,AnnualMeanTemperature,14.28108171,,,,
B165,Kashaya Pomo,xd1418,kash1280,Kashaya,Pomoan,AnnualMeanTemperature,14.39151431,,,,
B172,Wappo,xd1119,wapp1239,Wappo,Yuki-Wappo,AnnualMeanTemperature,14.39151431,,,,
Nc16,Huchnom,xd1114,yuki1243,Yuki,Yuki-Wappo,AnnualMeanTemperature,14.39151431,,,,
Nc17,Northern Pomo,xd1115,nort2966,Northern Pomo,Pomoan,AnnualMeanTemperature,14.39151431,,,,
Nc18,Eastern Pomo,xd1116,east2545,Eastern Pomo,Pomoan,AnnualMeanTemperature,14.39151431,,,,
Nc19,Southern Pomo,xd1117,sout2984,Southern Pomo,Pomoan,AnnualMeanTemperature,14.39151431,,,,
SCCS135,Eastern Pomo,xd1116,east2545,Eastern Pomo,Pomoan,AnnualMeanTemperature,14.39151431,,,,
WNAI64,Eastern Pomo,xd1116,east2545,Eastern Pomo,Pomoan,AnnualMeanTemperature,14.39151431,,,,
WNAI66,Wappo,xd1119,wapp1239,Wappo,Yuki-Wappo,AnnualMeanTemperature,14.39151431,,,,
SCCS117,Japanese,xd648,nucl1643,Japanese,Japonic,AnnualMeanTemperature,14.39161299,,,,
SCCS148,Chiricahua,xd1259,mesc1238,Mescalero-Chiricahua Apache,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,14.39422375,,,,
Ci12,Abkhaz,xd577,abkh1244,Abkhazian,Abkhaz-Adyge,AnnualMeanTemperature,14.41244755,,,,
Ng11,Yuchi,xd1246,yuch1247,Yuchi,,AnnualMeanTemperature,14.42170726,,,,
B152,Tübalulabal,xd1118,tuba1278,Tübatulabal,Uto-Aztecan,AnnualMeanTemperature,14.47580653,,,,
WNAI78,Tübalulabal,xd1118,tuba1278,Tübatulabal,Uto-Aztecan,AnnualMeanTemperature,14.47580653,,,,
B168,Coast Miwok,xd983,coas1301,Coast Miwok,Miwok-Costanoan,AnnualMeanTemperature,14.47797614,,,,
Nc20,Wappo,xd1119,wapp1239,Wappo,Yuki-Wappo,AnnualMeanTemperature,14.47797614,,,,
WNAI65,Southern Pomo,xd1117,sout2984,Southern Pomo,Pomoan,AnnualMeanTemperature,14.47797614,,,,
B154,Northern Foothills Yokuts,xd1129,nort2937,Northern Hill/Valley Yokuts,Yokutsan,AnnualMeanTemperature,14.52220869,,,,
Ab15,Pedi,xd16,tswe1238,Tswene,Atlantic-Congo,AnnualMeanTemperature,14.54028018,,,,
SCCS147,Comanche,xd1222,coma1245,Comanche,Uto-Aztecan,AnnualMeanTemperature,14.75241534,,,,
